psgc_code,municipality,value,date,source
072201,Alcantara,,,HDX/PSA
072202,Alcoy,,,HDX/PSA
072203,Alegria,,,HDX/PSA
072204,Aloguinsan,,,HDX/PSA
072205,Argao,,,HDX/PSA
072206,Asturias,,,HDX/PSA
072207,Badian,,,HDX/PSA
072208,Balamban,,,HDX/PSA
072209,Bantayan,,,HDX/PSA
072210,Barili,,,HDX/PSA
072211,City of Bogo,,,HDX/PSA
072212,Boljoon,,,HDX/PSA
072213,Borbon,,,HDX/PSA
072214,City of Carcar,,,HDX/PSA
072215,Carmen,,,HDX/PSA
072216,Catmon,,,HDX/PSA
072217,Cebu City (Capital),,,HDX/PSA
072218,Compostela,,,HDX/PSA
072219,Consolacion,,,HDX/PSA
072220,Cordova,,,HDX/PSA
072221,Daanbantayan,,,HDX/PSA
072222,Dalaguete,,,HDX/PSA
072223,Danao City,,,HDX/PSA
072224,Dumanjug,,,HDX/PSA
072225,Ginatilan,,,HDX/PSA
072226,Lapu-Lapu City (Opon),,,HDX/PSA
072227,Liloan,,,HDX/PSA
072228,Madridejos,,,HDX/PSA
072229,Malabuyoc,,,HDX/PSA
072230,Mandaue City,,,HDX/PSA
072231,Medellin,,,HDX/PSA
072232,Minglanilla,,,HDX/PSA
072233,Moalboal,,,HDX/PSA
072234,City of Naga,,,HDX/PSA
072235,Oslob,,,HDX/PSA
072236,Pilar,,,HDX/PSA
072237,Pinamungajan,,,HDX/PSA
072238,Poro,,,HDX/PSA
072239,Ronda,,,HDX/PSA
072240,Samboan,,,HDX/PSA
072241,San Fernando,,,HDX/PSA
072242,San Francisco,,,HDX/PSA
072243,San Remigio,,,HDX/PSA
072244,Santa Fe,,,HDX/PSA
072245,Santander,,,HDX/PSA
072246,Sibonga,,,HDX/PSA
072247,Sogod,,,HDX/PSA
072248,Tabogon,,,HDX/PSA
072249,Tabuelan,,,HDX/PSA
072250,City of Talisay,,,HDX/PSA
072251,Toledo City,,,HDX/PSA
072252,Tuburan,,,HDX/PSA
072253,Tudela,,,HDX/PSA
